Srl No.,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Your hometown ?,Occupation 
61,4,8,6,10,10,5,3,7,2,2,2,6,7,8,Xiaomi,Online,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
62,4,10,8,5,3,3,8,3,10,10,10,3,9,10,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
63,4,8,1,5,3,6,8,8,0,7,3,2,6,4,Samsung,Retail,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
64,0,10,8,6,0,10,7,8,3,10,10,7,0,5,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
65,6,8,5,8,6,8,7,7,6,5,4,7,8,9,Apple,Retail,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
66,7,7,9,6,10,10,9,6,4,10,8,8,7,4,Apple,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
67,7,9,9,7,10,2,2,9,9,5,7,3,5,9,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
68,10,8,5,10,10,4,7,10,10,5,10,2,4,5,Xiaomi,Online,Orange,Less Often,Never,Less Often,Never,Online,Retail Stores,24-28,Male,Mumbai,Student
69,8,9,6,7,3,4,2,4,8,9,8,2,1,10,Samsung,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
70,4,9,8,9,1,3,9,8,5,8,4,7,5,8,Others,Online,Cola,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
71,7,9,8,4,7,8,9,9,6,8,5,7,9,4,One Plus,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
72,8,9,9,9,8,8,9,8,8,8,8,9,9,7,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Online,18-23,Male,Other towns in North,Student
73,2,10,4,4,10,6,10,3,0,10,4,10,9,8,Others,Retail,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Delhi,Student
74,2,8,2,9,9,5,2,8,1,9,1,7,4,3,One Plus,Online,Fruit flavour,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
75,4,7,3,5,9,2,3,6,5,8,3,3,1,9,One Plus,Retail,Cola,Less Often,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
76,7,9,7,5,8,5,3,8,5,8,5,3,5,5,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
77,5,8,5,7,8,2,4,2,8,8,5,2,4,8,One Plus,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
78,10,6,9,3,0,8,2,2,1,10,5,0,5,5,Others,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
79,5,8,3,3,10,1,6,10,10,7,1,9,10,10,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Other towns in East,Student
80,2,9,6,7,3,2,9,0,9,9,2,1,6,8,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Kolkata,Student
81,10,10,5,8,10,10,0,10,5,5,0,0,0,0,Samsung,Second hand mobile sources,Cola,Never,Never,Less Often,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
82,9,10,9,5,3,3,3,6,8,10,8,8,7,9,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in East,Student
83,9,9,3,5,4,0,8,3,8,5,5,0,0,5,Xiaomi,Online,White/Colourless,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
84,8,9,6,8,10,7,10,2,8,9,2,2,8,5,Samsung,Online,White/Colourless,Less Often,Less Often,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Mumbai,Student
85,10,10,8,8,10,10,7,6,5,10,8,3,5,5,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
86,4,7,8,9,8,4,8,7,5,8,8,8,7,7,Apple,Retail,Cola,Everyday,Less Often,Everyday,Never,Newspaper,Retail Stores,18-23,Male,Other towns in South,Student
87,3,9,2,10,3,9,10,8,1,9,0,1,1,2,Xiaomi,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
88,8,10,9,7,7,8,3,9,9,10,4,6,6,7,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
89,5,4,10,10,0,9,6,10,0,10,0,10,10,0,Apple,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Male,Delhi,Student
90,6,9,10,3,5,8,7,0,3,10,6,7,3,7,Apple,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
91,8,8,4,7,7,3,1,4,1,8,2,6,6,9,Xiaomi,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
92,4,9,7,7,2,6,9,4,8,8,2,8,7,2,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Female,Kolkata,Student
93,5,5,7,9,9,5,2,5,9,6,1,4,9,2,Apple,Retail,Cola,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
94,7,7,9,7,10,7,8,4,2,9,6,5,8,0,Others,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in North,Student
95,3,7,7,8,7,2,0,0,8,10,2,7,0,10,Others,Online,Orange,Less Often,Never,Less Often,Less Often,Online,Online,24-28,Male,Other towns in North,Student
96,1,8,2,9,10,1,6,7,7,9,5,4,7,7,Others,Online,Fruit flavour,Less Often,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
97,5,7,7,5,5,8,7,0,8,5,2,1,4,0,Others,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Newspaper,Retail Stores,24-28,Female,Mumbai,Student
98,5,7,9,8,10,3,7,8,1,0,2,8,8,8,One Plus,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
99,3,4,4,7,9,2,9,9,2,8,3,8,9,9,Apple,Online,Orange,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
100,4,3,6,0,1,0,4,7,9,3,2,7,8,10,Xiaomi,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
101,4,9,3,0,8,0,7,5,9,9,0,2,1,5,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Newspaper,Retail Stores,18-23,Female,Other towns in South,Student
102,5,3,9,10,10,10,6,8,5,6,3,4,7,1,Others,Retail,Fruit flavour,Less Often,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Hyderabad,Student
103,8,9,4,4,5,6,2,8,8,8,5,6,3,4,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
104,4,7,5,6,9,4,7,4,8,8,3,7,4,7,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
105,8,9,7,5,9,5,6,3,1,7,2,8,7,1,Xiaomi,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Newspaper,Online,24-28,Male,Other towns in West,Student
106,8,8,6,7,3,5,3,5,9,9,5,8,5,7,Samsung,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Female,Other towns in North,Student
107,4,8,5,8,9,3,5,2,9,8,3,10,7,9,Apple,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in East,Student
108,6,7,4,6,10,1,6,5,5,10,4,5,5,7,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
109,3,7,2,6,9,6,5,8,7,7,4,6,7,6,Xiaomi,Online,White/Colourless,Less Often,Less Often,Never,Less Often,Online,Online,24-28,Male,Other towns in East,Student
110,6,10,4,2,3,1,9,1,10,6,5,8,6,10,Others,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
111,2,6,1,5,7,2,1,3,9,8,2,8,5,9,Apple,Online,Fruit flavour,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
112,1,8,5,2,1,3,1,2,9,7,2,7,2,3,Xiaomi,Online,Orange,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Kolkata,Student
113,7,9,7,6,8,3,6,3,6,6,5,4,3,6,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
114,8,8,8,8,10,10,7,2,4,9,2,3,3,5,Samsung,Retail,Cola,Less Often,Never,Never,Never,Newspaper,Retail Stores,18-23,Male,Kolkata,Student
115,4,7,9,2,2,8,10,8,6,5,2,10,10,5,One Plus,Online,Cola,Never,Less Often,Less Often,Everyday,Online,Retail Stores,18-23,Female,Other towns in South,Student
116,3,9,5,2,8,4,9,1,5,7,6,3,0,10,Others,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Everyday,Online,Online,18-23,Male,Hyderabad,Student
117,9,8,4,6,9,6,0,6,8,8,5,6,6,3,Others,Retail,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
118,4,10,7,8,4,4,8,5,4,8,5,6,3,7,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Less Often,Never,Online,Online,24-28,Male,Other towns in North,Student
119,1,2,2,5,9,4,9,3,5,5,2,0,10,9,Others,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in North,Student
120,9,9,9,9,10,8,9,9,8,8,8,9,8,7,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
121,2,10,4,8,10,2,3,10,7,9,2,8,8,0,Xiaomi,Online,Cola,Never,Never,Less Often,Less Often,Online,Online,18-23,Male,Other towns in North,Student
122,7,5,5,1,3,0,6,7,10,10,10,10,9,10,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
123,2,8,7,5,9,0,8,8,5,8,5,8,7,5,Xiaomi,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Online,24-28,Male,Delhi,Student
124,8,10,10,7,10,7,10,10,10,10,5,10,7,10,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
125,6,7,7,7,0,6,0,5,8,4,0,0,8,0,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
126,7,6,6,5,7,7,3,7,5,9,7,4,5,2,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
127,1,7,4,5,3,2,10,7,5,6,4,3,4,4,One Plus,Second hand mobile sources,Cola,Never,Never,Less Often,Everyday,Online,Online,24-28,Female,Other towns in North,Student
128,5,5,5,5,5,8,4,5,4,4,4,7,6,4,Others,Online,Fruit flavour,Less Often,Less Often,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in South,Student
129,8,8,2,4,9,9,4,6,5,8,7,8,4,8,Others,Online,Cola,Never,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
130,7,9,4,8,2,6,4,9,8,10,5,8,8,1,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
131,6,9,1,7,10,4,10,6,10,10,7,4,6,7,Xiaomi,Retail,White/Colourless,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
132,4,9,7,3,4,6,8,5,9,10,6,5,2,8,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Kolkata,Student
133,5,8,4,10,9,4,6,2,8,10,10,4,3,10,Others,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
134,3,7,6,6,9,8,8,7,5,6,1,4,5,5,Others,Online,Cola,Never,Everyday,Never,Never,Online,Retail Stores,24-28,Male,Other towns in West,Student
135,8,9,7,4,6,9,3,4,6,10,4,7,5,4,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
136,5,8,7,6,6,3,7,5,10,9,3,8,4,5,Apple,Retail,Orange,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
137,8,7,7,9,8,5,9,9,7,8,9,6,7,7,Xiaomi,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
138,5,10,3,10,10,5,7,7,10,8,2,5,7,2,One Plus,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
139,4,9,1,9,10,4,8,8,10,9,1,1,3,2,Apple,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
140,9,8,5,5,4,9,2,6,5,3,2,6,6,5,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
141,8,7,8,5,9,5,6,4,8,8,8,5,4,5,Xiaomi,Online,Cola,Never,Less Often,Less Often,Less Often,Newspaper,Online,24-28,Male,Other towns in North,Student
142,7,9,8,5,10,2,2,3,5,7,2,0,0,6,Xiaomi,Online,Fruit flavour,Never,Less Often,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in West,Student
143,3,8,3,8,4,0,9,9,7,7,7,8,6,2,One Plus,Online,Orange,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Kolkata,Student
144,7,10,5,8,7,3,7,6,8,9,5,2,4,8,Others,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Male,Other towns in East,Student
145,6,8,4,5,8,3,5,1,8,5,4,2,2,5,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
146,8,6,9,10,7,10,6,10,3,3,0,1,10,5,Apple,Retail,Orange,Never,Less Often,Less Often,Less Often,Newspaper,Retail Stores,18-23,Male,Delhi,Student
